"date","rights","n"
"1819","autre accès restreint",6
"1820","accès dans Gallica",1429
"1820","accès dans Retronews",2518
"1821","accès dans Gallica",2018
"1821","accès dans Retronews",2413
"1822","accès dans Gallica",2436
"1822","accès dans Retronews",2545
"1823","accès dans Gallica",2344
"1823","accès dans Retronews",2517
"1824","accès dans Gallica",2109
"1824","accès dans Retronews",2494
"1825","accès dans Gallica",1919
"1825","accès dans Retronews",2541
"1825","autre accès restreint",1
"1826","accès dans Gallica",2892
"1826","accès dans Retronews",2614
"1826","autre accès restreint",1
"1827","accès dans Gallica",2366
"1827","accès dans Retronews",2361
"1827","autre accès restreint",6
"1828","accès dans Gallica",2947
"1828","accès dans Retronews",2668
"1829","accès dans Gallica",3352
"1829","accès dans Retronews",2955
"1829","autre accès restreint",3
"1830","accès dans Gallica",3264
"1830","accès dans Retronews",3161
"1830","autre accès restreint",1
"1831","accès dans Gallica",2514
"1831","accès dans Retronews",3126
"1831","autre accès restreint",4
"1832","accès dans Gallica",2200
"1832","accès dans Retronews",3314
"1832","autre accès restreint",7
"1833","accès dans Gallica",2868
"1833","accès dans Retronews",3833
"1834","accès dans Gallica",2864
"1834","accès dans Retronews",3729
"1834","autre accès restreint",1
"1835","accès dans Gallica",2829
"1835","accès dans Retronews",4142
"1835","autre accès restreint",4
"1836","accès dans Gallica",3103
"1836","accès dans Retronews",4461
"1836","autre accès restreint",5
"1837","accès dans Gallica",3353
"1837","accès dans Retronews",5058
"1838","accès dans Gallica",3493
"1838","accès dans Retronews",4395
"1838","autre accès restreint",1
"1839","accès dans Gallica",3140
"1839","accès dans Retronews",4222
"1840","accès dans Gallica",3086
"1840","accès dans Retronews",3982
"1840","autre accès restreint",4
"1841","accès dans Gallica",3299
"1841","accès dans Retronews",4295
"1842","accès dans Gallica",2794
"1842","accès dans Retronews",4598
"1843","accès dans Gallica",3317
"1843","accès dans Retronews",4322
"1844","accès dans Gallica",3722
"1844","accès dans Retronews",4404
"1844","autre accès restreint",4
"1845","accès dans Gallica",3836
"1845","accès dans Retronews",4908
"1845","autre accès restreint",2
"1846","accès dans Gallica",3804
"1846","accès dans Retronews",4851
"1846","autre accès restreint",1
"1847","accès dans Gallica",3583
"1847","accès dans Retronews",4254
"1848","accès dans Gallica",3476
"1848","accès dans Retronews",5688
"1848","autre accès restreint",8
"1849","accès dans Gallica",4550
"1849","accès dans Retronews",6321
"1849","autre accès restreint",2
"1850","accès dans Gallica",5568
"1850","accès dans Retronews",6674
"1851","accès dans Gallica",5193
"1851","accès dans Retronews",6354
"1851","autre accès restreint",1
"1852","accès dans Gallica",4052
"1852","accès dans Retronews",5546
"1852","autre accès restreint",3
"1853","accès dans Gallica",3577
"1853","accès dans Retronews",4883
"1853","autre accès restreint",3
"1854","accès dans Gallica",4009
"1854","accès dans Retronews",4083
"1854","autre accès restreint",12
"1855","accès dans Gallica",3513
"1855","accès dans Retronews",4127
"1855","autre accès restreint",1
"1856","accès dans Gallica",4061
"1856","accès dans Retronews",4292
"1856","autre accès restreint",3
"1857","accès dans Gallica",4349
"1857","accès dans Retronews",4526
"1857","autre accès restreint",1
"1858","accès dans Gallica",4096
"1858","accès dans Retronews",4220
"1859","accès dans Gallica",3957
"1859","accès dans Retronews",4721
"1859","autre accès restreint",1
"1860","accès dans Gallica",4968
"1860","accès dans Retronews",4560
"1860","autre accès restreint",1
"1861","accès dans Gallica",4914
"1861","accès dans Retronews",4724
"1861","autre accès restreint",11
"1862","accès dans Gallica",5114
"1862","accès dans Retronews",4269
"1862","autre accès restreint",3
"1863","accès dans Gallica",6172
"1863","accès dans Retronews",4808
"1863","autre accès restreint",4
"1864","accès dans Gallica",6001
"1864","accès dans Retronews",4524
"1864","autre accès restreint",1
"1865","accès dans Gallica",6426
"1865","accès dans Retronews",5114
"1865","autre accès restreint",6
"1866","accès dans Gallica",6713
"1866","accès dans Retronews",4605
"1866","autre accès restreint",1
"1867","accès dans Gallica",6908
"1867","accès dans Retronews",4601
"1867","autre accès restreint",7
"1868","accès dans Gallica",7577
"1868","accès dans Retronews",5691
"1868","autre accès restreint",11
"1869","accès dans Gallica",8371
"1869","accès dans Retronews",7466
"1869","autre accès restreint",17
"1870","accès dans Gallica",8243
"1870","accès dans Retronews",8553
"1870","autre accès restreint",7
"1871","accès dans Gallica",6491
"1871","accès dans Retronews",9213
"1871","autre accès restreint",6
"1872","accès dans Gallica",8628
"1872","accès dans Retronews",10451
