"date","principales_villes","n"
"1664","Paris",32
"1665","Autre",6
"1665","N/A",13
"1665","Paris",19
"1665","Rouen",4
"1666","Autre",8
"1666","N/A",14
"1666","Paris",31
"1666","Rouen",1
"1667","Autre",5
"1667","Lille",1
"1667","Lyon",2
"1667","N/A",12
"1667","Paris",33
"1667","Rouen",1
"1668","Autre",5
"1668","N/A",10
"1668","Paris",39
"1668","Rouen",1
"1669","Autre",1
"1669","Lyon",1
"1669","Montpellier",1
"1669","N/A",9
"1669","Paris",41
"1670","Autre",5
"1670","N/A",12
"1670","Paris",19
"1671","Autre",6
"1671","Lyon",1
"1671","N/A",9
"1671","Paris",35
"1671","Rouen",1
"1672","Autre",4
"1672","Lyon",1
"1672","Montpellier",1
"1672","N/A",17
"1672","Paris",26
"1673","Autre",4
"1673","Bruxelles",1
"1673","Lyon",4
"1673","Montpellier",1
"1673","N/A",12
"1673","Paris",32
"1673","Rouen",1
"1674","Autre",1
"1674","Lyon",2
"1674","N/A",11
"1674","Paris",36
"1675","Autre",5
"1675","N/A",11
"1675","Paris",27
"1676","Autre",2
"1676","N/A",12
"1676","Paris",22
"1677","Autre",3
"1677","N/A",15
"1677","Paris",26
"1677","Rouen",2
"1678","Autre",3
"1678","Bruxelles",1
"1678","Lyon",7
"1678","N/A",9
"1678","Paris",21
"1678","Rouen",2
"1679","Autre",6
"1679","Lyon",3
"1679","N/A",11
"1679","Paris",23
"1679","Rouen",1
"1680","Autre",6
"1680","Lyon",2
"1680","N/A",18
"1680","Paris",21
"1680","Toulouse",1
"1681","Autre",6
"1681","N/A",8
"1681","Paris",19
"1681","Rouen",1
"1682","Autre",10
"1682","Lyon",1
"1682","N/A",8
"1682","Paris",20
"1682","Rouen",1
"1682","Toulouse",2
"1683","Autre",17
"1683","Lyon",4
"1683","N/A",10
"1683","Paris",26
"1683","Rouen",4
"1684","Autre",14
"1684","Lyon",3
"1684","N/A",22
"1684","Paris",19
"1685","Autre",14
"1685","Lyon",2
"1685","N/A",23
"1685","Paris",25
"1686","Autre",15
"1686","Bordeaux",1
"1686","Lyon",2
"1686","N/A",21
"1686","Paris",17
"1686","Rouen",1
"1686","Toulouse",1
"1687","Autre",14
"1687","N/A",14
"1687","Paris",29
"1688","Autre",15
"1688","N/A",26
"1688","Paris",29
"1689","Autre",9
"1689","N/A",18
"1689","Paris",23
"1690","Autre",8
"1690","Lyon",2
"1690","Montpellier",1
"1690","N/A",40
"1690","Paris",24
"1690","Rouen",1
"1691","Autre",6
"1691","Lyon",6
"1691","Montpellier",1
"1691","N/A",19
"1691","Paris",34
"1691","Rouen",1
"1692","Autre",5
"1692","Lyon",2
"1692","Montpellier",3
"1692","N/A",16
"1692","Paris",27
"1693","Autre",12
"1693","Lyon",3
"1693","N/A",30
"1693","Paris",63
"1693","Toulouse",1
"1694","Autre",11
"1694","Lille",1
"1694","Montpellier",2
"1694","N/A",22
"1694","Paris",33
"1695","Autre",11
"1695","Lyon",2
"1695","N/A",19
"1695","Paris",16
"1695","Toulouse",1
"1696","Autre",14
"1696","Lyon",10
"1696","N/A",18
"1696","Paris",38
"1697","Autre",14
"1697","Lyon",5
"1697","N/A",25
"1697","Paris",30
"1697","Toulouse",1
"1698","Autre",15
"1698","Bruxelles",1
"1698","N/A",20
"1698","Paris",29
"1698","Toulouse",5
"1699","Autre",20
"1699","Bruxelles",1
"1699","Lyon",2
"1699","Montpellier",1
"1699","N/A",17
"1699","Paris",40
"1699","Rouen",1
"1699","Toulouse",7
"1699","Tours",1
"1700","Autre",27
"1700","Bruxelles",1
"1700","Montpellier",1
"1700","N/A",39
"1700","Paris",28
"1700","Rouen",3
"1700","Toulouse",6
"1701","Autre",21
"1701","Lyon",2
"1701","N/A",23
"1701","Paris",27
"1701","Rouen",2
"1701","Toulouse",2
"1702","Autre",19
"1702","Lyon",1
"1702","N/A",14
"1702","Paris",24
"1702","Rouen",2
"1702","Toulouse",2
"1703","Autre",8
"1703","Bordeaux",3
"1703","Lyon",1
"1703","N/A",15
"1703","Paris",29
"1704","Autre",2
"1704","Bruxelles",1
"1704","Lille",1
"1704","N/A",10
"1704","Paris",48
"1704","Rouen",2
"1704","Toulouse",1
"1705","Autre",15
"1705","Lyon",3
"1705","N/A",16
"1705","Paris",31
"1706","Autre",7
"1706","Lyon",1
"1706","Montpellier",1
"1706","N/A",4
"1706","Paris",27
"1707","Autre",5
"1707","Bruxelles",1
"1707","Lyon",1
"1707","N/A",19
"1707","Paris",39
"1707","Tours",1
"1708","Autre",5
"1708","Bruxelles",1
"1708","Lyon",1
"1708","N/A",14
"1708","Paris",31
"1708","Rouen",1
"1709","Autre",14
"1709","N/A",8
"1709","Paris",35
"1710","Autre",13
"1710","Lyon",4
"1710","N/A",16
"1710","Paris",27
"1710","Rouen",1
"1711","Autre",9
"1711","N/A",6
"1711","Paris",22
"1711","Rouen",1
"1712","Autre",9
"1712","N/A",20
"1712","Paris",39
"1712","Rouen",1
"1713","Autre",10
"1713","Lyon",1
"1713","N/A",15
"1713","Paris",27
"1714","Autre",16
"1714","N/A",13
"1714","Paris",63
"1714","Rouen",2
"1715","Autre",16
"1715","Bruxelles",1
"1715","N/A",15
"1715","Paris",59
"1715","Rouen",3
"1715","Toulouse",1
"1716","Autre",30
"1716","Lyon",2
"1716","N/A",24
"1716","Paris",52
"1716","Rouen",4
"1717","Autre",20
"1717","Bordeaux",2
"1717","N/A",12
"1717","Paris",51
"1717","Rouen",2
"1718","Autre",17
"1718","Lyon",3
"1718","N/A",14
