"title","ark"
"L'Immeuble et la construction dans l'Est ","cb327888072"
"Les Annales politiques et littéraires ","cb34429261z"
"L'Écho des mines et de la métallurgie","cb34368225h"
"Les Antilles ","cb32699829n"
"L'Avenir de Bel Abbès","cb32708101d"
"Le Figaro","cb343599097"
"Gebweiler neueste Nachrichten  ","cb327816770"
"La Semaine religieuse du diocèse de Rouen","cb328670913"
"Le Courrier d'Angers ","cb327501125"
"Bulletin municipal ","cb327311271"
"Strassburger Burger Zeitung","cb32873074r"
"Le Petit journal","cb32836564q"
"Le Tamatave ","cb32875769k"
"Le Républicain français","cb32852664f"
"Le Progrès de Loir et","cb34537425j"
"Le Fin de siècle ","cb32775389x"
"La Semaine des familles ","cb344730672"
"Strassburger Post","cb419477071"
"Le Courrier du Loiret ","cb32751267z"
"L'Écho des Pyrénées ","cb327617786"
"La Chronique des arts et de la curiosité ","cb34421972m"
"La Pandore ","cb32831723g"
"La Vie parisienne  ","cb328892561"
"La Semaine vétérinaire ","cb328671487"
"Bulletin de l'Académie nationale de médecine","cb34348109k"
"Vichy journal ","cb328884628"
"Mercure de France ","cb34427363f"
"Le Cri de Marseille ","cb32752326w"
"Die Neue Welt ","cb40961683p"
"Paris spectacles ","cb32832967w"
"Lyon républicain ","cb32810110t"
"La Tribune des départemens ","cb32881128k"
"L'Indépendance belge","cb32789250s"
"Le Phare ","cb32838986m"
"Le Grand écho de l'Aisne ","cb32783468z"
"Journal officiel de l'Empire français","cb32802031s"
"Le Catholique ","cb327381778"
"L'Echo du soir","cb32762544k"
"Cols bleus ","cb34348467k"
"Le Journal général des travaux publics et du bâtiment ","cb328013859"
"Le Chenil ","cb32740821v"
"Le Nouvelliste ","cb328269638"
"The American register for Paris and the continent ","cb32690980h"
"Annales patriotiques et littéraires de la France","cb326946601"
"Le Conservateur ","cb327474145"
"La Plage ","cb32840098d"
"Annales catholiques ","cb326933990"
"L'Union républicaine de Sétif","cb32884716z"
"La Cote ","cb32749378m"
"L'Opinion du Midi ","cb328292512"
"Journal de la gendarmerie de France","cb327980537"
"Le Petit écho de la mode","cb328362370"
"La Vérité","cb32887610b"
"Mülhauser Tagblatt ","cb34424068m"
"La Dépêche tunisienne","cb32756164v"
"La Bataille syndicaliste ","cb327103199"
"La Correspondance internationale ","cb327488464"
"Mercure de France ","cb32814317r"
"La Lanterne de Boquillon ","cb328051355"
"Journal général de France ","cb328013572"
"L'Écho de Jarnac","cb32760004g"
"Le Réveil des Ardennes ","cb32854362d"
"La Gazette algérienne ","cb32780063d"
"Le Sud Ouest ","cb32873608m"
"Le Petit courrier de la Charente ","cb32836079c"
"Le Patriote de la Vendée ","cb328340071"
"Le Globe ","cb32782831g"
"Le Réveil populaire ","cb328549595"
"L'Écho de l'Yonne ","cb32760230k"
"Saïgon républicain","cb32864044v"
"Bulletin meusien ","cb32731042n"
"La Mode illustrée ","cb34444765x"
"L'Hippique algérienne et tunisienne","cb32786718z"
"L'Ami du peuple ","cb389909262"
"Le Courrier de la Guadeloupe ","cb32750513m"
"Le Journal de l'île de La Réunion ","cb32797753x"
"L'Époque ","cb327682922"
"Le Progrès de Seine et","cb32844099q"
"Journal de Salonique ","cb32798884q"
"La Quintessence des nouvelles historiques","cb32846789t"
"Le Triboulet ","cb34429846q"
"La Gazette d'Aïn Temouchent","cb327801521"
"Maroc-matin","cb328117770"
"Le Petit Souk Ahras","cb32837557p"
"La Démocratie ","cb32755401j"
"L'Informateur ","cb32791429s"
"Le Populaire du Midi ","cb32841266k"
"Le Républicain du Sud Ouest ","cb328526424"
"Le Républicain ","cb328521929"
"Affiches","cb32683075z"
"Messager de Tahiti ","cb32814982v"
"Le Globe ","cb32782829x"
"L'Italie nouvelle ","cb327943266"
"Strassburger neueste Nachrichten ","cb344124174"
"Moniteur algérien ","cb328185387"
"Moniteur de la papeterie française et de l'industrie du papier ","cb34378322z"
"Elsässer Tagblatt","cb41947577n"
"Neue Mülhauser Zeitung","cb32822970k"
"Schlettstadter Tageblatt","cb34447162z"
"Le Soir ","cb32870593p"
"Journal des faits ","cb32799687f"
"Le Courier de l'Europe","cb32750381j"
"Freie Presse für Elsass Lothringen","cb34420707c"
"Bulletin du Commerce de la Nouvelle Calédonie et des Nouvelles Hébrides","cb34480109n"
"Oberelsässische Landes Zeitung","cb34424059n"
"Journal officiel de la Nouvelle Calédonie et dépendances","cb345360883"
"L'Aïn Sefra","cb326846855"
"La Revue diplomatique ","cb44336124w"
"Le Sport alsacien ","cb32871862g"
"Les Sports du Nord","cb328721069"
"L'Ami des lois","cb326914090"
"Cote de la Bourse et de la banque ","cb32749492f"
"La Voix du combattant ","cb34399616h"
"L'Écho de Bougie ","cb327598399"
"Le Réveil économique ","cb32854757x"
"Le Mémorial bordelais ","cb328137853"
"Combat ","cb32744481k"
"Journal de l'enregistrement et des domaines ","cb32797695k"
"Bulletin","cb32730626t"
"L'Observateur des Pyrénées ","cb328277978"
"La Croix du Sud ","cb32753216j"
"Le Progrès ","cb328437115"
"Le Clairon du Lot ","cb32743199k"
"Le Progrès ","cb328437026"
"Mercure universel ","cb32814404p"
"Gazette des hôpitaux de Toulouse ","cb32780852z"
"Bulletin des lois de la République française","cb32726274t"
"La Vedette ","cb32887046p"
"La Croix du dimanche","cb34422001v"
"La Paix ","cb328313717"
"Nouvelles politiques","cb32826871m"
"La Kabylie française ","cb32803044c"
"Le Courrier colonial ","cb32750074f"
"Le Pêle mêle ","cb32834805j"
"Elsässer Kurier","cb344240360"
"La Jeunesse illustrée","cb327962868"
"Le Rire ","cb34432899t"
"Journal officiel de l'Afrique équatoriale française","cb32802022t"
"La Dépêche bretonne ","cb327559179"
"Journal d'Angers ","cb327968518"
"L'Athlète ","cb34474930f"
"La Semaine mondaine ","cb328669575"
"L'Éleveur ","cb344471817"
"Vaugirard Grenelle ","cb32886999h"
"Le Tir national ","cb328777096"
"Les Tablettes des Deux Charentes ","cb32875514r"
"L'École nouvelle ","cb32764488d"
"L'Écho cognaçais ","cb32759652z"
"Journal des artistes ","cb32799190z"
"L'Impartial de Rethel ","cb327889587"
"Schlettstadter Volksblatt ","cb419475529"
"Revue municipale ","cb32860840q"
"L'Indépendant ","cb41257550m"
"L'Effort ","cb343949582"
"Le Monde artiste ","cb32818188p"
"La Française ","cb327772596"
"France ","cb32895629g"
"La Mode nationale ","cb32817510m"
"La Solidarité ","cb32870824p"
"Le Phosphate ","cb328394587"
"Dernière heure ","cb327562675"
"La Vie moderne ","cb32889152c"
"Dân báo","cb32753974n"
"Le Mistral ","cb32816986q"
"La Jeune république ","cb32795928s"
"Annales africaines ","cb32693364b"
"El Correo de España","cb32748547n"
"Le Film complet ","cb344474247"
"Le Fanal ","cb32773075x"
"L'Ami du peuple ","cb32691561c"
"Journal des États généraux","cb32799630g"
"L'Avenir du bassin d'Arcachon ","cb32896010n"
"La Caricature ","cb32737409c"
"Le Progrès religieux ","cb419368144"
"L'Album théâtral ","cb32685201f"
