"ark","titre"
"cb327791958","
Furet-programme (Le) "
"cb327810671","
Gazette du XIXe siècle (La) "
"cb32781324k","
Gazette lyrique (La)"
"cb327852844","
Guignol"
"cb327865904","
Heures de Paris ( Les )"
"cb32787077s","
Holden's programme"
"cb32789277t","
Indépendance dramatique (L')"
"cb327893204","
Indépendance parisienne (L') "
"cb41257550m","
Indépendant (L')"
"cb327943355","
Italiens (Les)"
"cb32800476c","
Journal des théâtres"
"cb32801384z","
Journal général des théâtres"
"cb32802307r","
Journal-programme des théâtres de Paris"
"cb32804901t","
La-i-tou"
"cb32805269r","
Lapin indépendant (Le)"
"cb328092880","
Lorgnette (La) : Journal des théâtres"
"cb328092869","
Lorgnette (La) : journal des théâtres, de la littérature, des arts..."
"cb328097782","
Lutin (Le) "
"cb32810203t","
Lyre phocéenne (La)"
"cb328124255","
Mayonnaise littéraire (La)"
"cb32812944t","
Meilleurs cinémas et les meilleurs spectacles de Paris... (Les)"
"cb32814341m","
Mercure des théâtres (Le) "
"cb328144516","
Mère Angot (La)"
"cb32814513x","
Merle (Le) "
"cb328159734","
Mignon-programme"
"cb32818256b","
Monde dramatique (Le) : revue des spectacles anciens et modernes"
"cb32818257p","
Monde dramatique (Le) : revue théâtrale, artistique et littéraire"
"cb32819207c","
Moniteur des théâtres (Le)"
"cb32820377v","
Mouche (La) "
"cb32820494q","
Mousse (Le)"
"cb328256380","
Nouveau journal (Le)"
"cb32828109r","
Oeil-de-boeuf des théâtres (L') "
"cb328294957","
Orchestre (L')"
"cb328294988","
Orchestre (L') "
"cb328313252","
Paillasse"
"cb32831723g","
Pandore (La )"
"cb32831943n","
Papillon bleu (Le) "
"cb32832531s","
Paris-Guide"
"cb32832185m","
Paris-artiste"
"cb32832804q","
Paris-plaisirs"
"cb442816289","
Paris-plaisirs : Paris-annonces"
"cb32833001q","
Paris-théâtre"
"cb32833416v","
Parterre (Le) "
"cb328334354","
Parterre-gazette"
"cb32833617r","
Passe-temps (Le) "
"cb32833630z","
Passe-temps de l'entracte (Le)"
"cb32838592f","
Petites annonces théâtrales et musicales (Les) "
"cb328423098","
Premières illustrées (Les)"
"cb32843569x","
Programme (Le)"
"cb32843655h","
Programme détaillé (Le) "
"cb32843685f","
Programme pour tous"
"cb328473471","
Radio-concert"
"cb32847829g","
Rampe (La)"
"cb328593618","
Revue du théâtre"
"cb328612660","
Revue-programme (La)"
"cb328619031","
Rideau (Le) : Journal illustré des théâtres"
"cb32861901b","
Rideau (Le) : journal de la ville et des théâtres "
"cb32861911n","
Rideau artistique et littéraire (Le) "
"cb32862613r","
Romance (La) "
"cb32864500m","
Salon musical (Le)"
"cb32865398v","
Scène (La ) : programme quotidien des spectacles "
"cb32865394g","
Scène (La)"
"cb32866697k","
Semaine à Paris (La)"
"cb32866980p","
Semaine parisienne (La)"
"cb32870632r","
Soirée (La)"
"cb32870647s","
Soirée parisienne (La)"
"cb32871596z","
Spectacles (Les)"
"cb32871604r","
Spectacles de Paris (Les)"
"cb32871691h","
Spectactor"
"cb32871628r","
Spectateur (Le)"
"cb32873522w","
Succès du jour (Les) "
"cb32877212q","
Théâtre chez soi (Le)"
"cb32877218s","
Théâtre d'art"
"cb32877252z","
Théâtre illustré (Le)"
"cb32877264z","
Théâtre moderne illustré (Le)"
"cb42234154w","
Théâtre-italien (Le)"
"cb32880703n","
Triboulet"
"cb32881231r","
Tribune dramatique (La)"
"cb32881843d","
Trou du souffleur (Le) "
"cb328881497","
Vert-Vert"
"cb32888153g","
Vert-vert ou l'Entr'acte"
"cb32889426n","
Vie théâtrale (La)"
