"date","is_quotidien","n"
"1843","Autre périodicité",1080
"1843","Quotidien",6384
"1844","Autre périodicité",1134
"1844","Quotidien",6817
"1845","Autre périodicité",1248
"1845","Quotidien",7319
"1846","Autre périodicité",1114
"1846","Quotidien",7372
"1847","Autre périodicité",959
"1847","Quotidien",6681
"1848","Autre périodicité",1339
"1848","Quotidien",7645
"1849","Autre périodicité",1561
"1849","Quotidien",9146
"1850","Autre périodicité",1640
"1850","Quotidien",10443
"1851","Autre périodicité",1963
"1851","Quotidien",9458
"1852","Autre périodicité",1396
"1852","Quotidien",8052
"1853","Autre périodicité",1333
"1853","Quotidien",6982
"1854","Autre périodicité",1391
"1854","Quotidien",6540
"1855","Autre périodicité",1524
"1855","Quotidien",5886
"1856","Autre périodicité",1562
"1856","Quotidien",6581
"1857","Autre périodicité",1989
"1857","Quotidien",6630
"1858","Autre périodicité",2178
"1858","Quotidien",5909
"1859","Autre périodicité",1973
"1859","Quotidien",6424
"1860","Autre périodicité",2342
"1860","Quotidien",6908
"1861","Autre périodicité",2293
"1861","Quotidien",7028
"1862","Autre périodicité",2058
"1862","Quotidien",6985
"1863","Autre périodicité",2130
"1863","Quotidien",8580
"1864","Autre périodicité",2424
"1864","Quotidien",7837
"1865","Autre périodicité",2516
"1865","Quotidien",8760
"1866","Autre périodicité",2758
"1866","Quotidien",8322
"1867","Autre périodicité",2364
"1867","Quotidien",8898
"1868","Autre périodicité",2457
"1868","Quotidien",10524
"1869","Autre périodicité",2425
"1869","Quotidien",13056
"1870","Autre périodicité",3368
"1870","Quotidien",13174
"1871","Autre périodicité",2970
"1871","Quotidien",12544
"1872","Autre périodicité",2769
"1872","Quotidien",15566
"1873","Autre périodicité",2563
"1873","Quotidien",17230
"1874","Autre périodicité",2766
"1874","Quotidien",17437
"1875","Autre périodicité",3997
"1875","Quotidien",18064
"1876","Autre périodicité",3533
"1876","Quotidien",19459
"1877","Autre périodicité",2888
"1877","Quotidien",20270
"1878","Autre périodicité",2967
"1878","Quotidien",20805
"1879","Autre périodicité",3209
"1879","Quotidien",21807
"1880","Autre périodicité",3651
"1880","Quotidien",23545
"1881","Autre périodicité",4045
"1881","Quotidien",24956
"1882","Autre périodicité",5368
"1882","Quotidien",27661
"1883","Autre périodicité",5454
"1883","Quotidien",26993
"1884","Autre périodicité",5746
"1884","Quotidien",27020
"1885","Autre périodicité",5651
"1885","Quotidien",27504
"1886","Autre périodicité",5470
"1886","Quotidien",28541
"1887","Autre périodicité",5337
"1887","Quotidien",29795
"1888","Autre périodicité",5606
"1888","Quotidien",30775
"1889","Autre périodicité",5785
"1889","Quotidien",33204
"1890","Autre périodicité",5832
"1890","Quotidien",33097
"1891","Autre périodicité",6567
"1891","Quotidien",32749
"1892","Autre périodicité",6796
"1892","Quotidien",33548
"1893","Autre périodicité",6700
"1893","Quotidien",34923
"1894","Autre périodicité",6714
"1894","Quotidien",35901
"1895","Autre périodicité",7177
"1895","Quotidien",36059
"1896","Autre périodicité",7348
"1896","Quotidien",35375
"1897","Autre périodicité",7471
"1897","Quotidien",35341
"1898","Autre périodicité",7610
"1898","Quotidien",35520
"1899","Autre périodicité",7583
"1899","Quotidien",34875
"1900","Autre périodicité",7256
"1900","Quotidien",35818
"1901","Autre périodicité",7885
"1901","Quotidien",35666
"1902","Autre périodicité",7656
"1902","Quotidien",36766
"1903","Autre périodicité",7845
"1903","Quotidien",37249
"1904","Autre périodicité",7596
"1904","Quotidien",37115
"1905","Autre périodicité",7153
"1905","Quotidien",36267
"1906","Autre périodicité",6957
"1906","Quotidien",36760
"1907","Autre périodicité",7255
"1907","Quotidien",35630
"1908","Autre périodicité",7107
"1908","Quotidien",34470
"1909","Autre périodicité",7203
"1909","Quotidien",32498
"1910","Autre périodicité",7301
"1910","Quotidien",33001
"1911","Autre périodicité",6998
"1911","Quotidien",33893
"1912","Autre périodicité",7138
"1912","Quotidien",34462
"1913","Autre périodicité",7689
"1913","Quotidien",35458
"1914","Autre périodicité",6677
"1914","Quotidien",30196
"1915","Autre périodicité",4338
"1915","Quotidien",26647
"1916","Autre périodicité",5603
"1916","Quotidien",28498
"1917","Autre périodicité",5590
"1917","Quotidien",28964
"1918","Autre périodicité",5482
"1918","Quotidien",28197
"1919","Autre périodicité",5721
"1919","Quotidien",31324
"1920","Autre périodicité",5910
"1920","Quotidien",30881
"1921","Autre périodicité",6298
"1921","Quotidien",32086
"1922","Autre périodicité",6780
"1922","Quotidien",30897
"1923","Autre périodicité",7123
"1923","Quotidien",32453
"1924","Autre périodicité",7286
"1924","Quotidien",31377
"1925","Autre périodicité",7217
"1925","Quotidien",30713
"1926","Autre périodicité",6993
"1926","Quotidien",30336
"1927","Autre périodicité",7202
"1927","Quotidien",30115
"1928","Autre périodicité",7483
"1928","Quotidien",30196
"1929","Autre périodicité",7465
"1929","Quotidien",28823
"1930","Autre périodicité",7661
"1930","Quotidien",27819
"1931","Autre périodicité",7390
"1931","Quotidien",28399
"1932","Autre périodicité",7437
"1932","Quotidien",26732
"1933","Autre périodicité",7609
"1933","Quotidien",25866
"1934","Autre périodicité",7935
"1934","Quotidien",26579
"1935","Autre périodicité",7254
"1935","Quotidien",26717
"1936","Autre périodicité",7397
"1936","Quotidien",26040
"1937","Autre périodicité",7052
"1937","Quotidien",24440
"1938","Autre périodicité",5878
"1938","Quotidien",23796
"1939","Autre périodicité",4482
"1939","Quotidien",20841
"1940","Autre périodicité",2144
"1940","Quotidien",15633
"1941","Autre périodicité",2972
"1941","Quotidien",13727
"1942","Autre périodicité",2920
"1942","Quotidien",13002
"1943","Autre périodicité",2802
"1943","Quotidien",12344
"1944","Autre périodicité",2593
"1944","Quotidien",9700
"1945","Autre périodicité",1771
"1945","Quotidien",5526
"1946","Autre périodicité",2053
"1946","Quotidien",5639
"1947","Autre périodicité",1786
"1947","Quotidien",5875
"1948","Autre périodicité",1680
"1948","Quotidien",5430
"1949","Autre périodicité",2013
"1949","Quotidien",4617
"1950","Autre périodicité",1839
"1950","Quotidien",3791
"1951","Autre périodicité",837
"1951","Quotidien",2240
"1952","Autre périodicité",813
"1952","Quotidien",1836
"1953","Autre périodicité",676
"1953","Quotidien",1406
"1954","Autre périodicité",857
"1954","Quotidien",1431
"1955","Autre périodicité",861
"1955","Quotidien",1389
"1956","Autre périodicité",783
"1956","Quotidien",1237
"1957","Autre périodicité",745
"1957","Quotidien",1179
"1958","Autre périodicité",785
"1958","Quotidien",1227
"1959","Autre périodicité",584
"1959","Quotidien",946
"1960","Autre périodicité",513
"1960","Quotidien",663
"1961","Autre périodicité",432
"1961","Quotidien",496
"1962","Autre périodicité",425
"1962","Quotidien",735
"1963","Autre périodicité",343
"1963","Quotidien",658
"1964","Autre périodicité",357
"1964","Quotidien",641
"1965","Autre périodicité",364
"1965","Quotidien",643
"1966","Autre périodicité",380
"1966","Quotidien",642
"1967","Autre périodicité",365
"1967","Quotidien",423
"1968","Autre périodicité",326
"1968","Quotidien",602
"1969","Autre périodicité",360
"1969","Quotidien",597
"1970","Autre périodicité",395
"1970","Quotidien",172
"1971","Autre périodicité",441
"1972","Autre périodicité",495
"1973","Autre périodicité",395
"1974","Autre périodicité",339
"1975","Autre périodicité",397
"1976","Autre périodicité",402
"1977","Autre périodicité",450
"1978","Autre périodicité",448
"1979","Autre périodicité",471
"1980","Autre périodicité",455
"1981","Autre périodicité",361
"1982","Autre périodicité",334
"1983","Autre périodicité",319
"1984","Autre périodicité",348
"1985","Autre périodicité",315
"1986","Autre périodicité",384
"1987","Autre périodicité",397
"1988","Autre périodicité",431
"1989","Autre périodicité",450
