"date","rights","n"
"1896","document libre de droits",2614
"1896","document sous droits",3
"1897","document libre de droits",2587
"1897","document sous droits",32
"1898","document libre de droits",2568
"1898","document sous droits",1
"1899","document libre de droits",2386
"1899","document sous droits",7
"1900","document libre de droits",2864
"1900","document sous droits",6
"1901","document libre de droits",2333
"1901","document sous droits",21
"1902","document libre de droits",2339
"1902","document sous droits",23
"1903","document libre de droits",2258
"1903","document sous droits",30
"1904","document libre de droits",2253
"1904","document sous droits",19
"1905","document libre de droits",2297
"1905","document sous droits",36
"1906","document libre de droits",2165
"1906","document sous droits",37
"1907","document libre de droits",1841
"1907","document sous droits",34
"1908","document libre de droits",1955
"1908","document sous droits",46
"1909","document libre de droits",2015
"1909","document sous droits",47
"1910","document libre de droits",2072
"1910","document sous droits",68
"1911","document libre de droits",1963
"1911","document sous droits",58
"1912","document libre de droits",1945
"1912","document sous droits",62
"1913","document libre de droits",1960
"1913","document sous droits",64
"1914","document libre de droits",1570
"1914","document sous droits",51
"1915","document libre de droits",719
"1915","document sous droits",15
"1916","document libre de droits",823
"1916","document sous droits",32
"1917","document libre de droits",830
"1917","document sous droits",34
"1918","document libre de droits",802
"1918","document sous droits",30
"1919","document libre de droits",923
"1919","document sous droits",39
"1920","document libre de droits",1271
"1920","document sous droits",71
"1921","document libre de droits",835
"1921","document sous droits",57
"1922","document libre de droits",943
"1922","document sous droits",64
"1923","document libre de droits",830
"1923","document sous droits",94
"1924","document libre de droits",768
"1924","document sous droits",104
"1925","document libre de droits",854
"1925","document sous droits",110
"1926","document libre de droits",868
"1926","document sous droits",137
"1927","document libre de droits",782
"1927","document sous droits",134
"1928","document libre de droits",862
"1928","document sous droits",153
"1929","document libre de droits",627
"1929","document sous droits",170
"1930","document libre de droits",732
"1930","document sous droits",225
"1931","document libre de droits",825
"1931","document sous droits",217
"1932","document libre de droits",552
"1932","document sous droits",230
"1933","document libre de droits",539
"1933","document sous droits",258
"1934","document libre de droits",547
"1934","document sous droits",340
"1935","document libre de droits",871
"1935","document sous droits",285
"1936","document libre de droits",806
"1936","document sous droits",366
"1937","document libre de droits",513
"1937","document sous droits",622
"1938","document libre de droits",523
"1938","document sous droits",568
"1939","document libre de droits",259
"1939","document sous droits",403
"1940","document libre de droits",111
"1940","document sous droits",126
"1941","document libre de droits",98
"1941","document sous droits",190
"1942","document libre de droits",76
"1942","document sous droits",179
"1943","document libre de droits",70
"1943","document sous droits",220
"1944","document libre de droits",62
"1944","document sous droits",208
"1945","document libre de droits",81
"1945","document sous droits",391
"1946","document libre de droits",89
"1946","document sous droits",598
"1947","document libre de droits",121
"1947","document sous droits",680
"1948","document libre de droits",106
"1948","document sous droits",660
"1949","document libre de droits",64
"1949","document sous droits",680
"1950","document libre de droits",103
"1950","document sous droits",677
"1951","document libre de droits",51
"1951","document sous droits",626
"1952","document libre de droits",51
"1952","document sous droits",683
"1953","document libre de droits",50
"1953","document sous droits",727
"1954","document libre de droits",75
"1954","document sous droits",861
"1955","document libre de droits",79
"1955","document sous droits",815
"1956","document libre de droits",67
"1956","document sous droits",749
"1957","document libre de droits",77
"1957","document sous droits",949
"1958","document libre de droits",47
"1958","document sous droits",1042
"1959","document libre de droits",49
"1959","document sous droits",1096
"1960","document libre de droits",61
"1960","document sous droits",1207
"1961","document libre de droits",55
"1961","document sous droits",1221
"1962","document libre de droits",60
"1962","document sous droits",1137
"1963","document libre de droits",47
"1963","document sous droits",1095
"1964","document libre de droits",49
"1964","document sous droits",1115
"1965","document libre de droits",57
"1965","document sous droits",843
"1966","document libre de droits",75
"1966","document sous droits",908
"1967","document libre de droits",67
"1967","document sous droits",933
"1968","document libre de droits",51
"1968","document sous droits",1042
"1969","document libre de droits",82
"1969","document sous droits",922
"1970","document libre de droits",79
"1970","document sous droits",706
"1971","document libre de droits",54
"1971","document sous droits",636
"1972","document libre de droits",66
"1972","document sous droits",712
"1973","document libre de droits",82
"1973","document sous droits",761
"1974","document libre de droits",64
"1974","document sous droits",996
"1975","document libre de droits",68
"1975","document sous droits",1065
"1976","document libre de droits",69
"1976","document sous droits",1237
"1977","document libre de droits",74
"1977","document sous droits",1476
"1978","document libre de droits",82
"1978","document sous droits",1455
"1979","document libre de droits",92
"1979","document sous droits",1535
"1980","document libre de droits",76
"1980","document sous droits",1663
"1981","document libre de droits",102
"1981","document sous droits",1684
"1982","document libre de droits",55
"1982","document sous droits",1730
"1983","document libre de droits",66
"1983","document sous droits",1710
"1984","document libre de droits",67
"1984","document sous droits",1789
"1985","document libre de droits",59
"1985","document sous droits",1932
"1986","document libre de droits",50
"1986","document sous droits",1855
"1987","document libre de droits",55
"1987","document sous droits",2001
"1988","document libre de droits",56
"1988","document sous droits",1936
"1989","document libre de droits",49
"1989","document sous droits",1932
"1990","document libre de droits",42
"1990","document sous droits",1998
"1991","document libre de droits",43
"1991","document sous droits",1917
"1992","document libre de droits",29
"1992","document sous droits",2088
"1993","document libre de droits",27
"1993","document sous droits",2016
"1994","document libre de droits",27
"1994","document sous droits",1960
"1995","document libre de droits",19
"1995","document sous droits",2018
"1996","document libre de droits",23
"1996","document sous droits",1985
"1997","document libre de droits",35
"1997","document sous droits",2270
"1998","document libre de droits",20
"1998","document sous droits",1934
"1999","document libre de droits",27
"1999","document sous droits",1777
"2000","document libre de droits",220
"2000","document sous droits",1601
"2001","document libre de droits",23
"2001","document sous droits",98
"2002","document libre de droits",16
"2002","document sous droits",81
"2003","document libre de droits",16
"2003","document sous droits",58
"2004","document libre de droits",14
"2004","document sous droits",46
"2005","document libre de droits",13
"2005","document sous droits",61
"2006","document libre de droits",20
"2006","document sous droits",38
"2007","document libre de droits",11
"2007","document sous droits",30
"2008","document libre de droits",15
"2008","document sous droits",20
"2009","document libre de droits",13
