"date","principales_sources","n"
"1812","Bibliothèque Carré d'art / Nîmes",52
"1812","Bibliothèque nationale de France",1735
"1813","Autre",57
"1813","Banque de France",310
"1813","Bibliothèque Carré d'art / Nîmes",52
"1813","Bibliothèque nationale de France",1799
"1814","Autre",34
"1814","Banque de France",307
"1814","Bibliothèque Carré d'art / Nîmes",53
"1814","Bibliothèque nationale de France",2178
"1815","Autre",45
"1815","Banque de France",2
"1815","Bibliothèque Carré d'art / Nîmes",40
"1815","Bibliothèque nationale de France",2550
"1816","Autre",40
"1816","Banque de France",307
"1816","Bibliothèque Carré d'art / Nîmes",102
"1816","Bibliothèque nationale de France",2601
"1817","Autre",49
"1817","Banque de France",303
"1817","Bibliothèque Carré d'art / Nîmes",106
"1817","Bibliothèque nationale de France",2577
"1818","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",2
"1818","Autre",57
"1818","Banque de France",307
"1818","Bibliothèque Carré d'art / Nîmes",105
"1818","Bibliothèque nationale de France",2630
"1819","Autre",44
"1819","Banque de France",307
"1819","Bibliothèque Carré d'art / Nîmes",83
"1819","Bibliothèque nationale de France",3275
"1819","Bibliothèque nationale et universitaire de Strasbourg",1
"1820","Autre",46
"1820","Banque de France",301
"1820","Bibliothèque Carré d'art / Nîmes",97
"1820","Bibliothèque nationale de France",3503
"1821","Autre",38
"1821","Banque de France",303
"1821","Bibliothèque Carré d'art / Nîmes",57
"1821","Bibliothèque nationale de France",4032
"1821","Bibliothèque nationale et universitaire de Strasbourg",1
"1822","Autre",54
"1822","Banque de France",305
"1822","Bibliothèque Carré d'art / Nîmes",75
"1822","Bibliothèque nationale de France",4547
"1823","Autre",56
"1823","Banque de France",303
"1823","Bibliothèque Carré d'art / Nîmes",82
"1823","Bibliothèque nationale de France",4420
"1824","Autre",57
"1824","Banque de France",298
"1824","Bibliothèque Carré d'art / Nîmes",97
"1824","Bibliothèque nationale de France",4151
"1825","Autre",51
"1825","Banque de France",300
"1825","Bibliothèque Carré d'art / Nîmes",97
"1825","Bibliothèque nationale de France",4012
"1825","Bibliothèque nationale et universitaire de Strasbourg",1
"1826","Autre",64
"1826","Banque de France",301
"1826","Bibliothèque Carré d'art / Nîmes",75
"1826","Bibliothèque nationale de France",5066
"1826","Bibliothèque nationale et universitaire de Strasbourg",1
"1827","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",1
"1827","Autre",66
"1827","Banque de France",305
"1827","Bibliothèque Carré d'art / Nîmes",17
"1827","Bibliothèque nationale de France",4342
"1827","Bibliothèque nationale et universitaire de Strasbourg",2
"1828","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",2
"1828","Autre",72
"1828","Banque de France",307
"1828","Bibliothèque Carré d'art / Nîmes",56
"1828","Bibliothèque nationale de France",5178
"1829","Autre",93
"1829","Banque de France",303
"1829","Bibliothèque Carré d'art / Nîmes",53
"1829","Bibliothèque nationale de France",5860
"1829","Bibliothèque nationale et universitaire de Strasbourg",1
"1830","Autre",80
"1830","Banque de France",296
"1830","Bibliothèque Carré d'art / Nîmes",52
"1830","Bibliothèque nationale de France",5998
"1831","Autre",66
"1831","Banque de France",306
"1831","Bibliothèque Carré d'art / Nîmes",46
"1831","Bibliothèque nationale de France",5225
"1831","Bibliothèque nationale et universitaire de Strasbourg",1
"1832","Autre",63
"1832","Banque de France",310
"1832","Bibliothèque Carré d'art / Nîmes",92
"1832","Bibliothèque nationale de France",5056
"1833","Autre",71
"1833","Banque de France",305
"1833","Bibliothèque Carré d'art / Nîmes",177
"1833","Bibliothèque nationale de France",6148
"1834","Autre",83
"1834","Banque de France",301
"1834","Bibliothèque Carré d'art / Nîmes",252
"1834","Bibliothèque nationale de France",5957
"1834","Bibliothèque nationale et universitaire de Strasbourg",1
"1835","Autre",153
"1835","Banque de France",307
"1835","Bibliothèque Carré d'art / Nîmes",230
"1835","Bibliothèque nationale de France",6256
"1835","Bibliothèque nationale et universitaire de Strasbourg",29
"1836","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",2
"1836","Autre",178
"1836","Banque de France",310
"1836","Bibliothèque Carré d'art / Nîmes",212
"1836","Bibliothèque nationale de France",6812
"1836","Bibliothèque nationale et universitaire de Strasbourg",55
"1837","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",1
"1837","Autre",182
"1837","Banque de France",2
"1837","Bibliothèque Carré d'art / Nîmes",224
"1837","Bibliothèque nationale de France",7948
"1837","Bibliothèque nationale et universitaire de Strasbourg",54
"1838","Autre",133
"1838","Banque de France",305
"1838","Bibliothèque Carré d'art / Nîmes",223
"1838","Bibliothèque nationale de France",7176
"1838","Bibliothèque nationale et universitaire de Strasbourg",52
"1839","Autre",135
"1839","Banque de France",305
"1839","Bibliothèque Carré d'art / Nîmes",210
"1839","Bibliothèque nationale de France",6659
"1839","Bibliothèque nationale et universitaire de Strasbourg",53
"1840","Autre",147
"1840","Banque de France",306
"1840","Bibliothèque Carré d'art / Nîmes",201
"1840","Bibliothèque nationale de France",6366
"1840","Bibliothèque nationale et universitaire de Strasbourg",52
"1841","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",1
"1841","Autre",142
"1841","Banque de France",308
"1841","Bibliothèque Carré d'art / Nîmes",207
"1841","Bibliothèque nationale de France",6883
"1841","Bibliothèque nationale et universitaire de Strasbourg",53
"1842","Autre",91
"1842","Banque de France",282
"1842","Bibliothèque Carré d'art / Nîmes",217
"1842","Bibliothèque nationale de France",6802
"1843","Autre",125
"1843","Banque de France",308
"1843","Bibliothèque Carré d'art / Nîmes",186
"1843","Bibliothèque nationale de France",7019
"1843","Bibliothèque nationale et universitaire de Strasbourg",1
"1844","Autre",94
"1844","Banque de France",4
"1844","Bibliothèque Carré d'art / Nîmes",218
"1844","Bibliothèque nationale de France",7814
"1845","Autre",132
"1845","Banque de France",309
"1845","Bibliothèque Carré d'art / Nîmes",222
"1845","Bibliothèque nationale de France",8083
"1846","Autre",112
"1846","Banque de France",310
"1846","Bibliothèque Carré d'art / Nîmes",206
"1846","Bibliothèque nationale de France",8028
"1847","Autre",121
"1847","Banque de France",309
"1847","Bibliothèque Carré d'art / Nîmes",212
"1847","Bibliothèque nationale de France",7194
"1847","Bibliothèque nationale et universitaire de Strasbourg",1
"1848","Autre",106
"1848","Banque de France",2
"1848","Bibliothèque Carré d'art / Nîmes",204
"1848","Bibliothèque nationale de France",8860
"1849","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",125
"1849","Autre",99
"1849","Banque de France",307
"1849","Bibliothèque Carré d'art / Nîmes",267
"1849","Bibliothèque nationale de France",10075
"1850","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",288
"1850","Autre",117
"1850","Banque de France",308
"1850","Bibliothèque Carré d'art / Nîmes",490
"1850","Bibliothèque nationale de France",10987
"1850","Bibliothèque nationale et universitaire de Strasbourg",52
"1851","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",239
"1851","Autre",125
"1851","Banque de France",308
"1851","Bibliothèque Carré d'art / Nîmes",437
"1851","Bibliothèque nationale de France",10384
"1851","Bibliothèque nationale et universitaire de Strasbourg",54
"1851","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",1
"1852","Autre",130
"1852","Banque de France",3
"1852","Bibliothèque Carré d'art / Nîmes",309
"1852","Bibliothèque nationale de France",9104
"1852","Bibliothèque nationale et universitaire de Strasbourg",53
"1852","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",2
"1853","Autre",123
"1853","Banque de France",309
"1853","Bibliothèque Carré d'art / Nîmes",162
"1853","Bibliothèque nationale de France",7816
"1853","Bibliothèque nationale et universitaire de Strasbourg",53
"1854","Autre",140
"1854","Banque de France",310
"1854","Bibliothèque Carré d'art / Nîmes",167
"1854","Bibliothèque nationale de France",7390
"1854","Bibliothèque nationale et universitaire de Strasbourg",96
"1854","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",1
"1855","Autre",129
"1855","Banque de France",2
"1855","Bibliothèque Carré d'art / Nîmes",164
"1855","Bibliothèque nationale de France",7344
"1855","Bibliothèque nationale et universitaire de Strasbourg",1
"1855","Ville de Paris / Bibliothèque de l'Hôtel de Ville (BHdV)",1
"1856","Archives et bibliothèques Pau Béarn Pyrénées - Bibliothèque de Pau",2
"1856","Autre",112
"1856","Banque de France",309
"1856","Bibliothèque Carré d'art / Nîmes",158
