n,annee,mois,jour
4187,1793,4,18
4485,1793,4,19
9390,1793,4,20
2120,1793,4,22
4463,1793,4,23
3279,1793,4,24
3224,1793,4,25
4444,1793,4,26
4120,1793,4,27
5658,1793,4,28
5628,1793,4,29
4307,1793,5,1
8665,1793,5,2
4440,1793,5,4
3148,1793,5,5
4493,1793,5,6
9634,1793,5,7
4445,1793,5,8
3506,1793,5,9
3141,1793,5,10
5014,1793,5,11
3384,1793,5,12
3641,1793,5,13
4685,1793,5,14
3639,1793,5,15
4379,1793,5,16
4188,1793,5,17
4367,1793,5,18
2018,1793,5,19
3640,1793,5,20
3427,1793,5,21
6112,1793,5,22
5707,1793,5,23
6042,1793,5,24
10804,1793,5,25
7025,1793,5,27
5004,1793,5,28
5569,1793,5,30
4887,1793,5,31
6319,1793,6,1
4466,1793,6,2
5871,1793,6,3
3217,1793,6,5
2210,1793,6,6
5873,1793,6,7
3229,1793,6,8
3137,1793,6,9
4975,1793,6,10
11885,1793,6,11
13485,1793,6,13
4853,1793,6,15
3091,1793,6,16
10769,1793,6,17
10294,1793,6,19
5936,1793,6,21
5801,1793,6,22
3557,1793,6,23
7241,1793,6,24
7063,1793,6,25
6055,1793,6,26
4667,1793,6,27
4586,1793,6,29
2260,1793,6,30
4506,1793,7,1
2921,1793,7,2
4313,1793,7,3
4620,1793,7,4
2157,1793,7,5
7898,1793,7,6
10656,1793,7,8
4752,1793,7,9
11427,1793,7,10
6801,1793,7,11
2995,1793,7,13
3196,1793,7,14
9188,1793,7,15
2959,1793,7,16
3286,1793,7,17
4307,1793,7,18
4549,1793,7,19
4291,1793,7,20
2103,1793,7,21
3074,1793,7,22
3232,1793,7,23
4131,1793,7,24
8180,1793,7,25
4212,1793,7,27
6909,1793,7,28
3258,1793,7,30
4978,1793,7,31
7797,1793,8,1
5518,1793,8,2
3184,1793,8,4
3389,1793,8,5
4755,1793,8,6
3406,1793,8,7
8797,1793,8,8
3351,1793,8,11
10075,1793,8,12
4189,1793,8,14
3099,1793,8,15
4322,1793,8,16
4230,1793,8,17
10229,1793,8,18
2252,1793,8,19
8616,1793,8,20
7658,1793,8,22
2861,1793,8,24
3305,1793,8,25
3002,1793,8,26
5314,1793,8,27
5584,1793,8,28
4211,1793,8,29
4809,1793,8,30
8724,1793,8,31
4232,1793,9,1
4495,1793,9,2
4164,1793,9,3
4403,1793,9,4
9147,1793,9,5
4441,1793,9,7
2009,1793,9,8
9103,1793,9,9
3936,1793,9,11
3468,1793,9,12
4710,1793,9,13
3036,1793,9,14
3319,1793,9,15
6612,1793,9,16
4549,1793,9,18
8196,1793,9,19
3235,1793,9,21
2258,1793,9,22
8147,1793,9,23
5826,1793,9,25
2038,1793,9,26
1891,1793,9,27
3848,1793,9,28
2022,1793,9,29
7589,1793,9,30
3099,1793,10,1
2968,1793,10,2
4426,1793,10,3
2026,1793,10,4
2464,1793,10,5
3907,1793,10,6
4696,1793,10,7
5511,1793,10,8
4661,1793,10,9
3185,1793,10,10
2100,1793,10,11
4063,1793,10,12
4381,1793,10,13
1904,1793,10,14
4395,1793,10,15
5912,1793,10,16
3622,1793,10,17
3061,1793,10,18
4518,1793,10,19
3951,1793,10,20
3890,1793,10,21
4262,1793,10,22
3967,1793,10,23
4286,1793,10,24
4125,1793,10,25
4202,1793,10,26
4157,1793,10,27
4200,1793,10,28
4529,1793,10,29
1837,1793,10,30
1704,1793,10,31
5140,1793,11,1
4298,1793,11,2
2971,1793,11,3
3065,1793,11,4
3289,1793,11,5
2882,1793,11,6
4219,1793,11,7
3385,1793,11,8
3149,1793,11,9
3088,1793,11,10
2375,1793,11,11
4333,1793,11,12
4528,1793,11,13
4196,1793,11,14
3134,1793,11,15
3498,1793,11,16
4628,1793,11,17
3445,1793,11,18
3148,1793,11,19
3303,1793,11,20
2107,1793,11,21
8138,1793,11,22
6664,1793,11,23
4612,1793,11,24
3774,1793,11,25
3385,1793,11,26
3107,1793,11,27
3155,1793,11,28
2197,1793,11,29
2869,1793,11,30
3453,1793,12,1
1922,1793,12,2
1980,1793,12,3
6705,1793,12,4
3548,1793,12,5
6094,1793,12,6
3232,1793,12,7
4080,1793,12,8
5683,1793,12,9
3065,1793,12,10
3901,1793,12,11
2842,1793,12,12
4768,1793,12,13
3534,1793,12,14
2161,1793,12,15
3136,1793,12,16
4822,1793,12,17
4688,1793,12,18
3010,1793,12,19
2339,1793,12,20
3240,1793,12,21
5227,1793,12,22
7062,1793,12,23
4461,1793,12,24
4804,1793,12,25
4863,1793,12,26
3299,1793,12,27
6465,1793,12,28
4325,1793,12,29
3497,1793,12,31
5375,1794,1,1
4438,1794,1,2
2073,1794,1,3
3994,1794,1,4
3340,1794,1,5
4636,1794,1,6
4389,1794,1,7
4348,1794,1,8
5822,1794,1,9
1866,1794,1,11
4439,1794,1,12
4076,1794,1,13
2972,1794,1,14
4636,1794,1,15
3076,1794,1,16
4122,1794,1,17
1998,1794,1,18
2255,1794,1,19
1850,1794,1,20
5284,1794,1,21
4568,1794,1,22
2340,1794,1,23
4796,1794,1,24
4357,1794,1,25
3393,1794,1,26
4023,1794,1,27
6828,1794,1,28
3407,1794,1,29
2387,1794,1,30
5576,1794,1,31
3777,1794,2,1
6424,1794,2,2
3212,1794,2,3
4877,1794,2,4
4795,1794,2,5
4015,1794,2,6
4468,1794,2,7
4464,1794,2,8
3271,1794,2,9
2858,1794,2,10
4698,1794,2,11
6386,1794,2,12
4410,1794,2,13
2297,1794,2,14
4221,1794,2,15
4663,1794,2,16
3385,1794,2,17
