"date","count","base","ratio","mot","url","resolution","corpus","langue","bibli","search_mode"
"1960",2,577545,3.46293362421976e-06,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1961",3,508661,5.89783765612068e-06,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1962",2,557582,3.58691636387114e-06,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1963",4,499150,8.01362315937093e-06,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1964",3,585404,5.12466604259622e-06,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1965",6,619548,9.68447965290825e-06,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1966",3,571698,5.24752579158927e-06,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1967",3,522721,5.73919930517427e-06,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1968",9,648657,1.3874821361675e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1969",22,480630,4.57732559349187e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1970",29,539261,5.37772989331697e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1971",39,687461,5.67304908933016e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1972",36,647158,5.56278374060121e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
"1973",32,657869,4.86419028712403e-05,"salope","https://www.opensubtitles.org/","Année","Films","Français","Opensubtitles / Films en anglais","N-gramme"
