"date","Mean","Max","Min","Median","Std"
"1652",120.029411764706,986,6,14,221.979414614333
"1653",271.243902439024,1420,4,176,336.472790912416
"1654",269.78,1026,9,163,274.471759076617
"1655",305.289473684211,1316,5,249.5,296.301700508181
"1656",288.3,861,0,134.5,286.462437686214
"1657",220.954545454545,776,0,110.5,217.418892072472
"1658",174.230769230769,752,9,65,202.172660405369
"1659",250.46511627907,1048,6,146,273.814705232885
"1660",174.238805970149,933,0,40,253.751972050987
"1661",367,914,6,294,309.049618454168
"1662",253.871794871795,1186,6,83,322.527859219959
"1663",255.450980392157,700,0,166,230.591527487502
"1664",325.589285714286,1098,0,319,267.919918617873
"1665",306.261904761905,1028,8,161,317.237931752533
"1666",245.259259259259,945,0,148,242.006017793975
"1667",174.407407407407,816,0,34,244.348075152819
"1668",229.527272727273,906,1,104,259.840111417932
"1669",74.7169811320755,624,0,16,131.431962123504
"1670",202.527777777778,810,3,171,209.477920570043
"1671",297.019230769231,1184,0,273,243.57770354066
"1672",95.9387755102041,556,1,22,145.34720043217
"1673",143.090909090909,780,0,45,197.650390254299
"1674",163.98,572,0,84.5,163.802829459004
"1675",343.093023255814,975,6,297,287.811099917777
"1676",255.472222222222,1130,1,111,285.813574216392
"1677",238.195652173913,812,0,157,223.234168986064
"1678",203.325581395349,720,6,133,202.817032361006
"1679",312.75,1240,6,267.5,274.951676515355
"1680",274.9375,1131,8,132,315.210730339683
"1681",338.264705882353,997,4,299,274.17549222124
"1682",267.285714285714,840,6,168.5,255.266698000374
"1683",337.032786885246,820,0,350,262.061504690096
"1684",314.568965517241,1024,4,256,281.794756221614
"1685",370.765625,1410,6,331,316.877360593568
"1686",262.844827586207,732,6,256.5,215.230256280084
"1687",232.350877192982,890,0,180,210.230867248032
"1688",242.157142857143,1184,0,194.5,240.105329285167
"1689",263.88,816,4,227.5,249.819742361306
"1690",204.447368421053,825,1,79,238.213819623567
"1691",339.044776119403,1076,0,340,270.991134420333
"1692",128.867924528302,606,4,30,171.017772101193
"1693",383.211009174312,1128,0,312,325.452792087694
"1694",266.391304347826,1230,4,178,261.739835882847
"1695",301.734693877551,908,2,240,270.310452343705
"1696",262.675,742,4,222,222.002781086469
"1697",334.626666666667,912,0,324,252.157274674302
"1698",217.657142857143,848,0,102,237.986596000229
"1699",311.233333333333,960,4,375,248.050694800501
"1700",263.152380952381,1015,0,176,269.419382153277
"1701",280.142857142857,1096,0,184,297.612283732664
"1702",317.41935483871,1118,6,310,288.018985507365
"1703",241.607142857143,860,0,116.5,261.066322369096
"1704",226,876,0,158,216.917899215348
"1705",305.969230769231,814,10,256,237.098078943001
"1706",236.125,920,12,99.5,240.245727569471
"1707",198.878787878788,914,4,52,244.387115054501
"1708",221.301886792453,1072,8,70,274.317866219357
"1709",239.035087719298,770,6,153,212.619543258466
"1710",329.032786885246,960,6,200,290.558540700098
"1711",265.421052631579,948,6,168,276.510263880556
"1712",262.521739130435,904,4,116,276.943751386857
"1713",253.566037735849,886,0,96,278.808833696962
"1714",350.393617021277,986,0,283,324.898601819392
"1715",273.347368421053,1128,0,276,239.290385702831
"1716",227.6875,1172,0,77,255.315668640123
"1717",193.701149425287,766,4,79,220.721339362161
"1718",167.339285714286,1184,0,19,271.199190568945
