"date","identifier","publisher","title","nb_numeros","ark","duree_publi","date_deb","date_fin","deb_bis","fin_bis","is_quotidien","sdewey","sdewey_nom","sdewey2","sdewey_nom2"
"1891-19..","https://gallica.bnf.fr/ark:/12148/cb42674215s/date","Saint Florentin","Bulletin de la Société d'agriculture et syndicat agricole de Saint Florentin ",9,"cb42674215s_date",213,"1891-04","1891-10","1891-04-01","1891-10-31",FALSE,63,"Agriculture","",""
"1998","https://gallica.bnf.fr/ark:/12148/cb36951536d/date","Castelsarrasin","Bulletin de la Société archéologique et historique de Tarn et",9,"cb36951536d_date",3651,"1998","2007","1998-01-01","2007-12-31",FALSE,93,"Histoire de l'Antiquité","",""
"1946-1949","https://gallica.bnf.fr/ark:/12148/cb327233197/date","St Gaudens","Bulletin de la RAP ",9,"cb327233197_date",853,"1946-10","1949-01","1946-10-01","1949-01-31",FALSE,7,"Presse et édition","",""
"1907-19..","https://gallica.bnf.fr/ark:/12148/cb32722433t/date","Bordeaux","Bulletin de la Commission météorologique du département de la Gironde",9,"cb32722433t_date",3865,"1900-06","1910","1900-06-01","1910-12-31",FALSE,NA,NA,"",""
"1910-1913","https://gallica.bnf.fr/ark:/12148/cb34430873n/date","Paris","Bulletin de l'Association Émile Zola",9,"cb34430873n_date",1460,"1910","1913","1910-01-01","1913-12-31",FALSE,84,"Littérature francophone","",""
"1906-1912","https://gallica.bnf.fr/ark:/12148/cb32719441x/date","Roubaix","Bulletin de l'Association amicale des anciens étudiants de l'Institut technique roubaisien ",9,"cb32719441x_date",2086,"1906-07-15","1912-03","1906-07-15","1912-03-31",FALSE,37,"Éducation","",""
"1833-1837","https://gallica.bnf.fr/ark:/12148/cb327185320/date","Louviers","Bulletin de l'Académie ébroïcienne ",9,"cb327185320_date",1825,"1833","1837","1833-01-01","1837-12-31",FALSE,6,"Organisations","",""
"1917-1920","https://gallica.bnf.fr/ark:/12148/cb34410462g/date","Toulouse","Bulletin de l'Académie de législation fondée à Toulouse",9,"cb34410462g_date",NA,"1917","1919-11","1917-01-01","1919-11-31",FALSE,34,"Droit","",""
"1943-1944","https://gallica.bnf.fr/ark:/12148/cb327179278/date","","Bulletin d'information du Front national de lutte pour la libération de la France ",9,"cb327179278_date",166,"1943-12","1944-05-15","1943-12-01","1944-05-15",FALSE,NA,NA,"",""
"1863-1...","https://gallica.bnf.fr/ark:/12148/cb32717510f/date","Belley","Bulletin d'archéologie chrétienne",9,"cb32717510f_date",3286,"1870","1878","1870-01-01","1878-12-31",FALSE,5,"Périodiques","",""
"1929-1939","https://gallica.bnf.fr/ark:/12148/cb32869237b/date","Avesnes","Bulletin annuel ",9,"cb32869237b_date",4016,"1929","1939","1929-01-01","1939-12-31",FALSE,93,"Histoire de l'Antiquité","",""
"1904-1914","https://gallica.bnf.fr/ark:/12148/cb32869221z/date","Paris","Bulletin   Société amicale Gaston Paris ",9,"cb32869221z_date",3623,"1904-03","1914-01","1904-03-01","1914-01-31",FALSE,80,"Littérature Généralités","",""
"19??-19??","https://gallica.bnf.fr/ark:/12148/cb412708416/date","Yaoundé","Budget spécial des grands travaux et dépenses sanitaires sur fonds d'emprunt ",9,"cb412708416_date",3286,"1931","1939","1931-01-01","1939-12-31",FALSE,33,"Économie","",""
"19??-19??","https://gallica.bnf.fr/ark:/12148/cb41271754h/date","Paris, Lieux divers","Budget local",9,"cb41271754h_date",5478,"1922","1936","1922-01-01","1936-12-31",FALSE,33,"Économie","",""
"1888-1910","https://gallica.bnf.fr/ark:/12148/cb412688935/date","Lieux divers","Budget général",9,"cb412688935_date",4017,"1886","1896","1886-01-01","1896-12-31",FALSE,33,"Économie","",""
"1885-1887","https://gallica.bnf.fr/ark:/12148/cb39990843h/date","Paris","Bijou théâtre ",9,"cb39990843h_date",364,"1885","1885","1885-01-01","1885-12-31",FALSE,79,"Loisirs sports arts du spectacle","",""
"1750-1758","https://gallica.bnf.fr/ark:/12148/cb327123429/date","","Bibliothèque impartiale",9,"cb327123429_date",3236,"1750-01-02","1758-11-12","1750-01-02","1758-11-12",FALSE,7,"Presse et édition","",""
"1924-1924","https://gallica.bnf.fr/ark:/12148/cb327064770/date","Paris","Au jardin de l'Infante ",9,"cb327064770_date",-31,"1924-12","1924-10","1924-12-01","1924-10-31",FALSE,7,"Presse et édition","",""
