n,annee,mois
1850349,1831,7
1736374,1831,8
1809059,1831,9
1887894,1831,10
1777951,1831,11
1894932,1831,12
1640935,1832,1
1719651,1832,2
1862960,1832,3
1604686,1832,4
1663789,1832,5
1701452,1832,6
1643812,1832,7
1611596,1832,8
1604226,1832,9
1578593,1832,10
1589309,1832,11
1763737,1832,12
2129392,1833,1
1989990,1833,2
2385028,1833,3
1870675,1833,4
1905002,1833,5
2064562,1833,6
1905490,1833,7
1854531,1833,8
1810930,1833,9
1886807,1833,10
1766413,1833,11
1751631,1833,12
1571564,1834,1
1439080,1834,2
1698878,1834,3
1763735,1834,4
1718714,1834,5
1696519,1834,6
1723394,1834,7
1751079,1834,8
1725846,1834,9
1828756,1834,10
1813848,1834,11
1837891,1834,12
1780162,1835,1
1642296,1835,2
1853403,1835,3
1847145,1835,4
1924301,1835,5
1752061,1835,6
1890466,1835,7
1889756,1835,8
1845402,1835,9
1988261,1835,10
1800162,1835,11
2058836,1835,12
1995009,1836,1
1884555,1836,2
2080880,1836,3
2008323,1836,4
1868127,1836,5
1928913,1836,6
1980628,1836,7
1908188,1836,8
1901347,1836,9
1938163,1836,10
1910292,1836,11
2136917,1836,12
2084172,1837,1
1911298,1837,2
2176230,1837,3
2141423,1837,4
2089232,1837,5
2200833,1837,6
2174590,1837,7
2200486,1837,8
2136633,1837,9
3011915,1837,10
3072905,1837,11
3405181,1837,12
2966573,1838,1
2860450,1838,2
3268528,1838,3
2972373,1838,4
3094978,1838,5
2957719,1838,6
3218538,1838,7
3241436,1838,8
3091247,1838,9
3187796,1838,10
3071280,1838,11
3207942,1838,12
3514699,1839,1
3330088,1839,2
3814119,1839,3
3719158,1839,4
3883103,1839,5
3956350,1839,6
3887829,1839,7
3883444,1839,8
3731494,1839,9
3920035,1839,10
3763315,1839,11
3860339,1839,12
3520499,1840,1
3381342,1840,2
3672736,1840,3
3621207,1840,4
3834947,1840,5
3636794,1840,6
3883671,1840,7
3759364,1840,8
3637249,1840,9
3910212,1840,10
3565857,1840,11
3850219,1840,12
3932750,1841,1
3680600,1841,2
4271912,1841,3
4007752,1841,4
4201020,1841,5
4060902,1841,6
4236389,1841,7
4178305,1841,8
4032367,1841,9
4280100,1841,10
4023879,1841,11
4260220,1841,12
4273847,1842,1
4045377,1842,2
4513408,1842,3
4330156,1842,4
4457068,1842,5
4738888,1842,6
4751335,1842,7
4606034,1842,8
4395844,1842,9
4328932,1842,10
4241273,1842,11
4439115,1842,12
4271599,1843,1
3993704,1843,2
4483912,1843,3
4442353,1843,4
4570342,1843,5
4616107,1843,6
5260900,1843,7
4654859,1843,8
4622019,1843,9
4685157,1843,10
4649740,1843,11
5039620,1843,12
4460139,1844,1
4315861,1844,2
4858050,1844,3
4455781,1844,4
4700133,1844,5
4609896,1844,6
5115192,1844,7
4998042,1844,8
4594515,1844,9
4649513,1844,10
4745901,1844,11
4752183,1844,12
4824673,1845,1
4801165,1845,2
5242997,1845,3
5083486,1845,4
5064557,1845,5
4995113,1845,6
5080702,1845,7
5201545,1845,8
5019177,1845,9
5381438,1845,10
5167971,1845,11
5169613,1845,12
4975801,1846,1
4374132,1846,2
5078613,1846,3
4703080,1846,4
5190788,1846,5
4929887,1846,6
5472961,1846,7
5390044,1846,8
5249961,1846,9
5277035,1846,10
4942051,1846,11
4956107,1846,12
5693712,1847,1
5424007,1847,2
5906069,1847,3
6194447,1847,4
7053518,1847,5
7147999,1847,6
5642888,1847,7
5565335,1847,8
5367274,1847,9
5541158,1847,10
5291029,1847,11
5776368,1847,12
5617268,1848,1
6198663,1848,2
6946353,1848,3
6879021,1848,4
7022701,1848,5
7033485,1848,6
7250845,1848,7
7243464,1848,8
6957074,1848,9
7487862,1848,10
7444330,1848,11
7623821,1848,12
6627766,1849,1
6280792,1849,2
7697527,1849,3
7225292,1849,4
7200020,1849,5
6981864,1849,6
6751538,1849,7
6590418,1849,8
6722932,1849,9
5825170,1849,10
5764893,1849,11
5583871,1849,12
5960165,1850,1
5494576,1850,2
6340380,1850,3
5629256,1850,4
5832494,1850,5
5775223,1850,6
5693623,1850,7
5902760,1850,8
5530047,1850,9
5953202,1850,10
5574770,1850,11
5469037,1850,12
6373126,1851,1
6105723,1851,2
6668201,1851,3
6377124,1851,4
6637253,1851,5
6355497,1851,6
6593108,1851,7
6742232,1851,8
6274142,1851,9
6457741,1851,10
6098631,1851,11
6280396,1851,12
6591798,1852,1
6120470,1852,2
6502477,1852,3
6491943,1852,4
6566098,1852,5
6333390,1852,6
6836090,1852,7
6474178,1852,8
6656527,1852,9
6817005,1852,10
6233314,1852,11
6756031,1852,12
6485155,1853,1
5973626,1853,2
6663050,1853,3
6843044,1853,4
6378549,1853,5
6877886,1853,6
6948977,1853,7
6587234,1853,8
6581371,1853,9
7028171,1853,10
6820796,1853,11
7209455,1853,12
6801599,1854,1
6400909,1854,2
7268129,1854,3
6313975,1854,4
6303682,1854,5
6252720,1854,6
7203641,1854,7
7204273,1854,8
7272219,1854,9
7234511,1854,10
7017482,1854,11
7395730,1854,12
7301465,1855,1
6781914,1855,2
7922363,1855,3
7305631,1855,4
7675424,1855,5
7884140,1855,6
7683523,1855,7
7750203,1855,8
7740799,1855,9
7371867,1855,10
7497292,1855,11
7495789,1855,12
7189709,1856,1
6967124,1856,2
7282427,1856,3
7434806,1856,4
7257103,1856,5
6981744,1856,6
7248427,1856,7
7347834,1856,8
6993811,1856,9
7681998,1856,10
7266327,1856,11
7296306,1856,12
7148655,1857,1
6621711,1857,2
7406963,1857,3
7154144,1857,4
7581681,1857,5
6971337,1857,6
7390042,1857,7
7316051,1857,8
7420055,1857,9
7530890,1857,10
6933193,1857,11
7136575,1857,12
7626980,1858,1
7053573,1858,2
7762400,1858,3
7826340,1858,4
7938905,1858,5
7900572,1858,6
8348946,1858,7
7940822,1858,8
8103659,1858,9
8382879,1858,10
7373180,1858,11
8042933,1858,12
7329724,1859,1
6904962,1859,2
7712372,1859,3
7337144,1859,4
7607759,1859,5
7011808,1859,6
7811722,1859,7
7439031,1859,8
7692148,1859,9
7801560,1859,10
7352154,1859,11
7787775,1859,12
7717174,1860,1
7511316,1860,2
8563732,1860,3
7917791,1860,4
8101087,1860,5
8189032,1860,6
7730303,1860,7
8013586,1860,8
8295772,1860,9
8097890,1860,10
7912652,1860,11
8141131,1860,12
8072708,1861,1
7700809,1861,2
8744953,1861,3
