"","date","count","base","ratio","mot","url","resolution","corpus","langue","bibli","search_mode"
"71","1815/11",36,495841,7.26039194015824e-05,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=11&fromYear=1815&toDay=30&toMonth=11&toYear=1815","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"72","1815/12",39,544862,7.15777573036842e-05,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=12&fromYear=1815&toDay=31&toMonth=12&toYear=1815","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"73","1816/01",54,564552,9.56510649151894e-05,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=1&fromYear=1816&toDay=31&toMonth=1&toYear=1816","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"74","1816/02",62,565364,0.000109663862573492,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=2&fromYear=1816&toDay=28&toMonth=2&toYear=1816","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"75","1816/03",61,632897,9.638219173104e-05,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=3&fromYear=1816&toDay=31&toMonth=3&toYear=1816","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"76","1816/04",31,604572,5.12759439735879e-05,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=4&fromYear=1816&toDay=30&toMonth=4&toYear=1816","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"77","1816/05",39,631897,6.17189193808485e-05,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=5&fromYear=1816&toDay=31&toMonth=5&toYear=1816","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"78","1816/06",20,629458,3.17733669283733e-05,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=6&fromYear=1816&toDay=30&toMonth=6&toYear=1816","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"79","1816/07",56,620035,9.03174820776247e-05,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=7&fromYear=1816&toDay=31&toMonth=7&toYear=1816","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"80","1816/08",58,652261,8.89214593544609e-05,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=8&fromYear=1816&toDay=31&toMonth=8&toYear=1816","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"81","1816/09",58,598985,9.68304715477015e-05,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=9&fromYear=1816&toDay=30&toMonth=9&toYear=1816","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"82","1816/10",63,633641,9.94253844053652e-05,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=10&fromYear=1816&toDay=31&toMonth=10&toYear=1816","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"83","1816/11",36,593220,6.06857489632851e-05,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=11&fromYear=1816&toDay=30&toMonth=11&toYear=1816","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"84","1816/12",30,604191,4.96531725894626e-05,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=12&fromYear=1816&toDay=31&toMonth=12&toYear=1816","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"85","1817/01",48,644813,7.44401865347008e-05,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=1&fromYear=1817&toDay=31&toMonth=1&toYear=1817","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"86","1817/02",46,620415,7.41439197956207e-05,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=2&fromYear=1817&toDay=28&toMonth=2&toYear=1817","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"87","1817/03",46,724891,6.34578164165371e-05,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=3&fromYear=1817&toDay=31&toMonth=3&toYear=1817","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"88","1817/04",50,660394,7.57123777623661e-05,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=4&fromYear=1817&toDay=30&toMonth=4&toYear=1817","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"89","1817/05",42,714700,5.87659157688541e-05,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=5&fromYear=1817&toDay=31&toMonth=5&toYear=1817","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"90","1817/06",29,626816,4.62655707576067e-05,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=6&fromYear=1817&toDay=30&toMonth=6&toYear=1817","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"91","1817/07",35,629893,5.55649927844888e-05,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=7&fromYear=1817&toDay=31&toMonth=7&toYear=1817","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
"92","1817/08",22,620136,3.54760891159359e-05,"krieg","https://www.deutsche-digitale-bibliothek.de/search/newspaper?query=%22krieg%22&language=ger&fromDay=1&fromMonth=8&fromYear=1817&toDay=31&toMonth=8&toYear=1817","Mois","Presse","Allemand","Deutsche Digitale Bibliothek","N-gramme"
