"url","titre","csv","num"
"https://gallica.bnf.fr/html/und/presse-et-revues/ain","Ain ","liste_departement_ain.csv",51
"https://gallica.bnf.fr/html/und/presse-et-revues/aisne","Aisne","liste_departement_aisne.csv",52
"https://gallica.bnf.fr/html/und/presse-et-revues/allier","Allier ","liste_departement_allier.csv",53
"https://gallica.bnf.fr/html/und/presse-et-revues/alpes-de-haute-provence","Alpes-de-Haute-Provence","liste_departement_alpes-de-haute-provence.csv",54
"https://gallica.bnf.fr/html/und/presse-et-revues/alpes-maritimes","Alpes Maritimes","liste_departement_alpes-maritimes.csv",55
"https://gallica.bnf.fr/html/und/presse-et-revues/ardeche","Ardèche","liste_departement_ardeche.csv",56
"https://gallica.bnf.fr/html/und/presse-et-revues/ardennes","Ardennes","liste_departement_ardennes.csv",57
"https://gallica.bnf.fr/html/und/presse-et-revues/ariege","Ariège","liste_departement_ariege.csv",58
"https://gallica.bnf.fr/html/und/presse-et-revues/aube","Aube","liste_departement_aube.csv",59
"https://gallica.bnf.fr/html/und/presse-et-revues/aude","Aude","liste_departement_aude.csv",60
"https://gallica.bnf.fr/html/und/presse-et-revues/aveyron","Aveyron","liste_departement_aveyron.csv",61
"https://gallica.bnf.fr/html/und/presse-et-revues/bas-rhin","Bas-Rhin","liste_departement_bas-rhin.csv",62
"https://gallica.bnf.fr/html/und/presse-et-revues/bouches-du-rhone","Bouches-du-Rhône","liste_departement_bouches-du-rhone.csv",63
"https://gallica.bnf.fr/html/und/presse-et-revues/calvados","Calvados","liste_departement_calvados.csv",64
"https://gallica.bnf.fr/html/und/presse-et-revues/cantal","Cantal","liste_departement_cantal.csv",65
